fecha,hora,puerto,mmsi,nombre,distancia_m,zona,lat,lon
2026-08-01,00:02:45,Puerto Rosario S. A. Terminal 1,255915644,NORDCHEETAH,77.5,SanLorenzo,-32.97787,-60.61736
2026-08-01,00:02:45,Petrobras - Oil Combustible,701138000,POLARIS,162.0,SanLorenzo,-32.68767,-60.7242
2026-08-01,00:02:45,Cargill S.A. Villa Gdor. Gálvez,636093229,BBC VENUS,317.7,SanLorenzo,-33.03857,-60.57884
2026-08-01,00:02:45,Toepfer International Argentina S.r.l.,538005411,GARDENIA K,152.0,SanLorenzo,-33.12655,-60.50751
2026-08-01,00:02:45,Central Termoeléctrica Timbués Renova,372154000,HAMPTON SKY,163.4,SanLorenzo,-32.58446,-60.77976
2026-08-01,00:02:45,Cofco S.A.,538005867,ARDMORE CHINOOK,455.5,SanLorenzo,-32.69138,-60.72362
2026-08-01,00:02:45,Unidad VII Servicios Portuarios S.A.,314181000,M0NA,96.7,SanLorenzo,-32.98532,-60.61629
2026-08-01,00:02:45,Cofco Internacional Argentina S.A.,477227600,AMOY GALAXY,160.6,SanLorenzo,-32.60433,-60.76187
2026-08-01,00:02:45,Mosaic S.A. Muelle De Fertilizantes,563302200,IONA ISLAND,170.7,SanLorenzo,-32.66979,-60.72714
2026-08-01,00:02:45,Profertil S.A.,636023896,CYTA,192.0,SanLorenzo,-32.63778,-60.74837
2026-08-01,00:02:45,Asociación de Cooperativas Argentina,636018029,PALLADA,195.6,SanLorenzo,-32.61875,-60.75583
2026-08-01,00:02:45,Vicentin S.A.I.C,403660000,RAWAN,188.4,SanLorenzo,-32.77266,-60.72048
2026-08-01,00:02:45,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,563301600,ILLOVO RIVER,213.7,SanLorenzo,-33.12201,-60.5109
2026-08-01,00:02:45,Terminal Chacabuco YPF,701001056,ENRICO H,94.7,SanLorenzo,-32.72104,-60.72575
2026-08-01,00:02:45,Terminal Chacabuco YPF,701001307,MAX DREAM,99.1,SanLorenzo,-32.71977,-60.7271
2026-08-01,00:02:45,Cofco Internacional Argentina S.A.,238059000,AP KUPARI,407.9,SanLorenzo,-32.60112,-60.76532
2026-08-01,00:02:45,Cofco S.A.,538012023,PERSEAS,152.0,SanLorenzo,-32.69632,-60.72289
2026-08-01,00:02:45,Cargill S.A. Punta Alvear,352003708,ROYAL RESPECT,124.3,SanLorenzo,-33.04784,-60.57291
2026-08-01,00:02:45,Louis Dreyfus y Cia. Ltda. Timbúes,312546000,LILA,340.8,SanLorenzo,-32.59735,-60.76901
